StaffUsername,EventName,StartDate,SiteName
michael.smith,Eastside Trail,2019-02-04,Piedmont Park
staff1,Eastside Trail,2019-02-04,Piedmont Park
robert.smith,Eastside Trail,2019-02-04,Inman Park
staff2,Eastside Trail,2019-02-04,Inman Park
staff1,Eastside Trail,2019-03-01,Inman Park
michael.smith,Eastside Trail,2019-02-13,Historic Fourth Ward Park
staff1,Westside Trail,2019-02-18,Westview Cemetery
staff3,Westside Trail,2019-02-18,Westview Cemetery
michael.smith,Bus Tour,2019-02-01,Inman Park
staff2,Bus Tour,2019-02-01,Inman Park
robert.smith,Bus Tour,2019-02-08,Inman Park
michael.smith,Bus Tour,2019-02-08,Inman Park
robert.smith,Private Bus Tour,2019-02-01,Inman Park
staff3,Arboretum Walking Tour,2019-02-08,Inman Park
staff1,Official Atlanta BeltLine Bike Tour,2019-02-09,Atlanta BeltLine Center
