VisitorUsername,EventName,StartDate,SiteName,VisitEventDate
mary.smith,Bus Tour,2019-02-01,Inman Park,2019-02-01
maria.garcia,Bus Tour,2019-02-01,Inman Park,2019-02-02
manager2,Bus Tour,2019-02-01,Inman Park,2019-02-02
manager4,Bus Tour,2019-02-01,Inman Park,2019-02-01
manager5,Bus Tour,2019-02-01,Inman Park,2019-02-02
staff2,Bus Tour,2019-02-01,Inman Park,2019-02-02
mary.smith,Westside Trail,2019-02-18,Westview Cemetery,2019-02-19
mary.smith,Private Bus Tour,2019-02-01,Inman Park,2019-02-01
mary.smith,Private Bus Tour,2019-02-01,Inman Park,2019-02-02
mary.smith,Official Atlanta BeltLine Bike Tour,2019-02-09,Atlanta BeltLine Center,2019-02-10
mary.smith,Arboretum Walking Tour,2019-02-08,Inman Park,2019-02-10
mary.smith,Eastside Trail,2019-02-04,Piedmont Park,2019-02-04
mary.smith,Eastside Trail,2019-02-13,Historic Fourth Ward Park,2019-02-13
mary.smith,Eastside Trail,2019-02-13,Historic Fourth Ward Park,2019-02-14
visitor1,Eastside Trail,2019-02-13,Historic Fourth Ward Park,2019-02-14
visitor1,Official Atlanta BeltLine Bike Tour,2019-02-09,Atlanta BeltLine Center,2019-02-10
visitor1,Westside Trail,2019-02-18,Westview Cemetery,2019-02-19
